"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 10:17:03 MSK 2024","Thu Nov 28 10:17:07 MSK 2024","4112","tests","test_main_page","TestMainPage","","","Add to cart item alert is present",""
"passed","Thu Nov 28 10:17:46 MSK 2024","Thu Nov 28 10:17:56 MSK 2024","9992","tests","test_product_page","TestProductPage","","","Add to cart 3 items alert is present, items in cart are present",""
"passed","Thu Nov 28 10:16:29 MSK 2024","Thu Nov 28 10:16:33 MSK 2024","4506","tests","test_main_page","TestMainPage","","","Check picture changes click on arrow next",""
"passed","Thu Nov 28 10:19:03 MSK 2024","Thu Nov 28 10:19:06 MSK 2024","3505","tests","test_registration_user_page","TestsNegative","","","Fill only first name input correct parametres: [был обычный серый питерский]",""
"passed","Thu Nov 28 10:19:18 MSK 2024","Thu Nov 28 10:19:21 MSK 2024","3743","tests","test_registration_user_page","TestsNegative","","","Fill only first name input incorrect parametres: []",""
"passed","Thu Nov 28 10:16:10 MSK 2024","Thu Nov 28 10:16:14 MSK 2024","4345","tests","test_main_page","TestMainPage","","","Check picture changes click on bullets",""
"passed","Thu Nov 28 10:17:39 MSK 2024","Thu Nov 28 10:17:42 MSK 2024","2757","tests","test_product_page","TestProductPage","","","Add to cart item alert is present",""
"passed","Thu Nov 28 10:21:21 MSK 2024","Thu Nov 28 10:21:24 MSK 2024","2909","tests","test_registration_user_page","TestsNegative","","","Fill only email input incorrect parametres:  [ ], wait alert errors",""
"passed","Thu Nov 28 10:19:40 MSK 2024","Thu Nov 28 10:19:43 MSK 2024","3263","tests","test_registration_user_page","TestsNegative","","","Fill only last name input correct parametres: [1]",""
"passed","Thu Nov 28 10:17:28 MSK 2024","Thu Nov 28 10:17:33 MSK 2024","4618","tests","test_product_page","TestProductPage","","","Add to compare item alert is present",""
"passed","Thu Nov 28 10:21:06 MSK 2024","Thu Nov 28 10:21:09 MSK 2024","2971","tests","test_registration_user_page","TestsNegative","","","Fill only email input incorrect parametres: [okey@.dd], wait browser validation errors",""
